scenario,host_id,number_extend,count,mean,std,min,percentile25,percentile50,percentile75,max
baseline,host1,1000,188.0,0.99,0.016739590907286685,0.96,0.97,0.99,1.01,1.01
baseline,host1,1000,199.0,0.9607537688442211,0.010960658452112838,0.94,0.95,0.96,0.97,0.98
baseline,host1,1000,193.0,0.9890673575129535,0.011187819909842174,0.97,0.98,0.99,1.0,1.01
baseline,host1,1000,199.0,0.9622613065326635,0.010170866509647972,0.94,0.95,0.96,0.97,0.98
baseline,host1,1000,191.0,0.9894764397905763,0.015380719985039665,0.96,0.98,0.99,1.0,1.02
baseline,host1,1000,198.0,0.9571212121212123,0.010040297210065625,0.94,0.95,0.96,0.97,0.97
baseline,host1,10000,1947.0,1.182300975860298,0.08932800289267857,1.01,1.1,1.19,1.26,1.32
baseline,host1,10000,1955.0,1.1691662404092074,0.08792484511716724,1.0,1.09,1.17,1.25,1.3
baseline,host1,10000,1959.0,1.1847217968351198,0.0893645235487132,1.02,1.1,1.19,1.27,1.32
baseline,host1,10000,1950.0,1.1898666666666666,0.0881523627747276,1.03,1.11,1.2,1.27,1.32
baseline,host1,10000,1948.0,1.1810318275154004,0.08835663953966127,1.01,1.1,1.19,1.26,1.31
baseline,host1,10000,1949.0,1.1606208311954846,0.10760160375440726,0.97,1.07,1.16,1.24,1.33
baseline,host1,100000,19916.0,1.6241318537859009,0.09138559859203924,1.32,1.58,1.66,1.7,1.74
baseline,host1,100000,7903.0,1.5484259142097936,0.04275476497674769,1.46,1.51,1.55,1.58,1.64
baseline,host1,100000,19954.0,1.6396747519294375,0.1170268489404513,1.32,1.56,1.63,1.74,1.81
baseline,host1,100000,19980.0,1.6025945945945947,0.09143584280701283,1.33,1.54,1.62,1.67,1.75
baseline,host1,100000,19955.0,1.6230754196943122,0.09969170717050416,1.31,1.55,1.66,1.7,1.74
baseline,host1,100000,19923.0,1.7172629624052602,0.12409071940683201,1.33,1.64,1.75,1.81,1.85
baseline,host2,1000,188.0,0.9589893617021278,0.01649955091325397,0.93,0.94,0.96,0.98,0.98
baseline,host2,1000,200.0,0.9372499999999998,0.01007197714543128,0.92,0.93,0.94,0.95,0.95
baseline,host2,1000,193.0,0.9623834196891192,0.013712757697176949,0.94,0.95,0.96,0.97,0.99
baseline,host2,1000,199.0,0.9407035175879397,0.009347799270440384,0.92,0.93,0.94,0.95,0.96
baseline,host2,1000,191.0,0.9631413612565444,0.016466102860130158,0.94,0.95,0.96,0.98,0.99
baseline,host2,1000,199.0,0.9309547738693467,0.009618635365112344,0.91,0.92,0.93,0.94,0.95
baseline,host2,10000,1948.0,1.1479158110882959,0.08597170552876426,0.98,1.07,1.16,1.22,1.28
baseline,host2,10000,1955.0,1.1407109974424554,0.08593489631151631,0.98,1.06,1.15,1.22,1.27
