scenario,number_extend,count,mean,std,min,percentile25,percentile50,percentule75,max
local,10,10.0,15.1,0.3162277660168379,15.0,15.0,15.0,15.0,16.0
local,10,10.0,15.4,0.6992058987801009,15.0,15.0,15.0,15.75,17.0
local,10,10.0,16.3,0.674948557710553,16.0,16.0,16.0,16.0,18.0
local,10,10.0,15.6,0.5163977794943222,15.0,15.0,16.0,16.0,16.0
local,10,10.0,18.3,6.583649781424014,16.0,16.0,16.0,16.75,37.0
local,10,10.0,15.6,0.699205898780101,15.0,15.0,15.5,16.0,17.0
local,10,10.0,15.9,0.7378647873726218,15.0,15.25,16.0,16.0,17.0
local,100,100.0,15.54,3.4943533093413808,10.0,15.0,15.0,15.0,46.0
local,100,100.0,16.33,4.503769465008106,14.0,15.0,16.0,16.0,51.0
local,100,100.0,16.8,3.954284212896646,15.0,16.0,16.0,17.0,48.0
local,100,100.0,15.62,3.0872170462909003,14.0,15.0,15.0,16.0,38.0
local,100,100.0,15.97,2.397199544586487,15.0,15.0,16.0,16.0,34.0
local,100,100.0,16.05,2.713136766016619,15.0,15.0,16.0,16.0,38.0
local,100,100.0,16.09,2.4622195784546217,15.0,15.0,16.0,16.0,35.0
local,1000,1000.0,15.41,0.6279285741979653,14.0,15.0,15.0,16.0,17.0
local,1000,1000.0,15.746,0.7321338812130072,14.0,15.0,16.0,16.0,17.0
local,1000,1000.0,16.164,0.7359657910838289,11.0,16.0,16.0,16.0,26.0
local,1000,1000.0,15.353,0.5802824551265794,14.0,15.0,15.0,16.0,18.0
local,1000,1000.0,15.684,0.6152418406793527,14.0,15.0,16.0,16.0,18.0
local,1000,1000.0,15.668,0.6373242363053361,15.0,15.0,16.0,16.0,19.0
local,1000,1000.0,15.589,0.7004067172504674,14.0,15.0,16.0,16.0,19.0
local,10000,10000.0,15.4168,0.6664249186646715,10.0,15.0,15.0,16.0,18.0
local,10000,10000.0,15.6643,0.7237802814318268,11.0,15.0,16.0,16.0,18.0
local,10000,10000.0,16.166,0.6245662561336756,10.0,16.0,16.0,16.0,19.0
local,10000,10000.0,15.4386,0.6134066080233318,10.0,15.0,15.0,16.0,20.0
local,10000,10000.0,15.68,0.6218027531833705,10.0,15.0,16.0,16.0,19.0
local,10000,10000.0,15.6794,0.6815145531891814,10.0,15.0,16.0,16.0,37.0
local,10000,10000.0,15.6881,0.5936780570002236,14.0,15.0,16.0,16.0,24.0
local,100000,100000.0,15.76284,0.6484283607250537,10.0,15.0,16.0,16.0,37.0
local,100000,100000.0,16.01093,0.6906484670609369,10.0,16.0,16.0,16.0,38.0
local,100000,100000.0,16.44013,0.6777906587594951,11.0,16.0,16.0,17.0,55.0
local,100000,100000.0,15.58312,0.6812457020467182,10.0,15.0,16.0,16.0,36.0
local,100000,100000.0,15.70586,0.6133884762978387,10.0,15.0,16.0,16.0,37.0
local,100000,100000.0,15.67551,0.7227042707184125,10.0,15.0,16.0,16.0,75.0
local,100000,100000.0,15.71061,0.6099238870318738,10.0,15.0,16.0,16.0,37.0
remote,10,10.0,26.1,9.503800409426864,22.0,22.25,23.0,24.0,53.0
remote,10,10.0,22.6,0.9660917830792958,21.0,22.0,22.5,23.0,24.0
remote,10,10.0,22.0,5.849976258261415,16.0,17.25,22.5,23.75,36.0
remote,10,10.0,25.0,4.714045207910317,22.0,23.0,23.0,24.75,38.0
remote,10,10.0,23.3,0.8232726023485647,22.0,23.0,23.0,23.75,25.0
remote,10,10.0,23.0,2.3570226039551585,17.0,23.0,23.5,24.0,26.0
remote,10,10.0,24.0,1.0540925533894598,23.0,23.0,24.0,24.75,26.0
remote,100,100.0,23.3,2.6685599339741537,17.0,23.0,23.0,24.0,45.0
remote,100,100.0,22.29,2.4007364190046667,17.0,22.0,22.0,23.0,37.0
remote,100,100.0,22.82,4.288532983610497,16.0,22.0,23.0,24.0,59.0
remote,100,100.0,23.57,2.323594394271709,17.0,23.0,24.0,24.0,38.0
remote,100,100.0,22.82,2.0859317129549355,16.0,22.0,23.0,24.0,26.0
remote,100,100.0,23.47,1.4245679834230238,17.0,23.0,23.0,24.0,28.0
remote,100,100.0,22.42,1.859618729251193,16.0,22.0,23.0,23.0,28.0
remote,1000,1000.0,22.681,2.128325343731247,15.0,22.0,23.0,24.0,31.0
remote,1000,1000.0,22.457,2.1105936618889003,16.0,22.0,23.0,23.0,29.0
remote,1000,1000.0,22.977,1.959671225310847,15.0,22.0,23.0,24.0,30.0
remote,1000,1000.0,23.268,2.049970335975232,16.0,23.0,24.0,24.0,32.0
remote,1000,1000.0,22.532,2.2838984636345336,16.0,22.0,23.0,24.0,30.0
remote,1000,1000.0,22.749,2.086228978648159,15.0,22.0,23.0,24.0,38.0
remote,1000,1000.0,22.734,1.780565756835283,16.0,22.0,23.0,24.0,32.0
remote,10000,10000.0,22.9417,2.080368694099775,16.0,22.0,23.0,24.0,32.0
remote,10000,10000.0,23.168,20.777760888379486,15.0,22.0,23.0,23.0,1030.0
remote,10000,10000.0,22.9918,2.4635217989627307,15.0,23.0,23.0,24.0,144.0
remote,10000,10000.0,23.355,2.0703631662980806,16.0,23.0,24.0,24.0,33.0
remote,10000,10000.0,22.9397,1.89420767400811,16.0,23.0,23.0,24.0,32.0
remote,10000,10000.0,22.6159,2.304365031808045,15.0,22.0,23.0,23.0,139.0
remote,10000,10000.0,22.6532,3.1934854931502628,15.0,22.0,23.0,23.0,232.0
remote,100000,100000.0,23.42742,9.642420956710806,15.0,23.0,23.0,24.0,1051.0
remote,100000,100000.0,22.83336,2.2527897951246167,15.0,22.0,23.0,24.0,230.0
remote,100000,100000.0,23.45396,9.739357723650665,15.0,23.0,24.0,24.0,1043.0
remote,100000,100000.0,23.74575,9.710914990679084,16.0,23.0,24.0,25.0,1051.0
remote,100000,100000.0,22.95863,6.971100665280462,15.0,22.0,23.0,24.0,1044.0
remote,100000,100000.0,22.63018,6.986716060465781,15.0,22.0,23.0,24.0,1020.0
remote,100000,92010.0,22.554385392892076,2.4614590637418945,15.0,22.0,23.0,24.0,231.0
remote with mTLS,10,10.0,41.8,8.638415492567036,37.0,38.0,39.0,40.75,66.0
remote with mTLS,10,10.0,40.8,5.245103536738918,37.0,38.25,39.0,39.0,54.0
remote with mTLS,10,10.0,43.1,7.415449338299662,39.0,40.25,41.0,41.0,64.0
remote with mTLS,10,10.0,42.9,2.726414006223804,41.0,41.0,42.5,43.0,50.0
remote with mTLS,10,10.0,39.9,4.121757985239902,36.0,37.0,39.0,40.5,49.0
remote with mTLS,10,10.0,38.6,0.9660917830792958,37.0,38.0,38.5,39.0,40.0
remote with mTLS,10,10.0,38.1,0.8755950357709134,37.0,38.0,38.0,38.0,40.0
remote with mTLS,100,100.0,38.79,3.223320955132762,32.0,37.0,38.5,40.0,51.0
