number_extend,scenario,mean,ic_lower,ic_upper
10,local,16.02901142857143,15.442857142857145,16.857142857142854
10,remote,23.71990857142857,22.785714285714285,24.74285714285714
10,remote with mTLS,40.74165428571428,39.41428571428571,42.04285714285714
100,local,16.055612,15.775714285714287,16.355714285714285
100,remote,22.958156857142857,22.62285714285714,23.295714285714286
100,remote with mTLS,40.72189028571429,39.43142857142857,42.17857142857143
1000,local,15.656906714285713,15.488971428571428,15.857857142857142
1000,remote,22.7709392,22.601399999999995,22.964117857142856
1000,remote with mTLS,39.55741274285714,38.57924285714286,40.72985714285714
10000,local,15.675432428571428,15.531542857142856,15.854983928571425
10000,remote,22.952436131428573,22.778385714285715,23.13314285714286
10000,remote with mTLS,39.41391458285714,38.50042857142857,40.488677857142854
100000,local,15.840805932571428,15.670938571428573,16.06359714285714
100000,remote,23.085039547341655,22.78011878967348,23.401736
100000,remote with mTLS,39.94296758314285,38.87327428571428,41.260962857142864
