scenario,number_extend,count,mean,std,min,percentile25,percentile50,percentile75,max
remote,10,10,38.40,2.065591117977289,35,37.25,38.5,39.75,42
remote,10,10,41.00,3.3333333333333335,37,39.25,40.5,41.75,49
remote,10,10,40.40,3.0983866769659336,34,38.5,40.5,43,44
remote,10,10,41.40,3.438345855527367,38,38.25,41,42.75,47
remote,10,10,37.80,2.699794230842212,33,36,38,39,42
remote,10,10,38.20,1.9321835661585918,36,37,37.5,38.75,42
remote,10,10,43.20,2.573367875415838,38,42.25,44,44.75,46
remote,10,10,44.10,4.04007700696685,39,40.5,43.5,47.5,51
remote with mTLS,10,10,54.40,3.272783388968954,49,52.5,54.5,57.5,58
remote with mTLS,10,10,50.90,2.923088169119167,46,49,51.5,52,55
remote with mTLS,10,10,50.10,3.5418137224371984,45,48.25,50,53.25,55
remote with mTLS,10,10,53.40,4.376706016578627,49,50,52.5,55.75,62
remote with mTLS,10,10,50.70,4.691600058733813,45,48.25,50.5,52.5,61
remote with mTLS,10,10,53.40,3.835506630304673,49,52,52,53.75,63
remote with mTLS,10,10,50.90,2.766867462592951,47,48.5,51.5,53,54
remote with mTLS,10,10,51.40,4.060651288757616,46,49,50.5,53.5,60
remote,100,100,38.03,3.1605363309080765,30,36,38,40,45
remote,100,100,42.08,4.789888339307118,32,39.75,42,44,77
remote,100,100,40.12,3.5768051880882976,30,38,40,42,49
remote,100,100,40.17,3.8324900258160888,34,38,40,42,66
remote,100,100,39.18,4.678297195183805,29,37,39,41,70
remote,100,100,38.00,3.402316501408647,31,36,38,40,60
remote,100,100,41.07,3.18853691789317,33,39,41,43,55
remote,100,100,43.51,6.109266020818809,33,40,43,45,74
remote with mTLS,100,100,53.98,5.083107297508069,46,51,53,56,83
remote with mTLS,100,100,51.26,6.175252008925408,44,48,50,53,88
remote with mTLS,100,100,50.10,4.615520588517646,40,47,49,52,73
remote with mTLS,100,100,56.48,25.000799987200413,46,50,52,55,262
remote with mTLS,100,100,49.60,5.757735244999997,41,46,49,52,80
remote with mTLS,100,100,51.44,5.995486517861463,41,48,50,53.25,82
remote with mTLS,100,100,54.47,21.82735518434229,43,48,50,53,217
remote with mTLS,100,100,53.54,6.231915249485319,41,51,53,55,88
remote,1000,1000,37.46,5.611733738832902,28,35,37,39,172
remote,1000,1000,42.98,3.1869841336078006,32,41,43,45,56
remote,1000,1000,43.63,3.231805775192648,35,41,43,46,56
remote,1000,1000,38.12,3.4679461718213944,27,36,38,40,59
remote,1000,1000,42.64,16.38396195092042,31,39,41,43,263
remote,1000,1000,41.23,3.514722930371235,32,39,41,44,76
remote,1000,1000,39.90,15.475305524644178,27,36,38,40,255
remote,1000,1000,41.59,3.312257545851491,31,39,42,44,54
remote,1000,1000,41.91,5.899218234289669,32,40,42,44,178
remote,1000,1000,49.59,78.43771464722228,31,38.75,40,43,1074
remote,1000,1000,42.80,9.665982734426048,33,40,43,44,260
remote,1000,1000,41.40,3.6682484985408266,31,39,41,44,72
remote,1000,1000,41.29,9.154153949685051,31,39,41,43,254
remote,1000,1000,73.64,123.66598656151275,30,40,43,47,1125
remote,1000,1000,41.84,3.635976392157185,31,40,42,44,64
remote,1000,1000,41.52,3.4277066929906805,32,39,41,43,72
remote,1000,1000,41.11,14.114200886577585,30,38,40,42,286
remote,1000,1000,41.18,3.467137875113283,31,39,41,43,61
remote,1000,1000,59.68,110.14145524807537,31,39,41,43,1076
remote,1000,1000,46.32,23.17313138136537,30,40,43,46,296
remote,1000,1000,50.19,78.566986007421,31,39,41,43,1076
remote,1000,1000,44.54,5.364644481269044,35,42,44,46,106
remote,1000,1000,43.61,7.606297111982675,34,41,43,45,188
remote,1000,1000,39.54,3.6493865268044923,30,37,40,42,66
remote,1000,1000,37.02,2.996907147786272,28,35,37,39,46
remote,1000,1000,42.11,4.604947506925742,30,40,42,44,123
remote,1000,1000,60.24,108.99553191290434,32,40,42,44,1070
remote,1000,1000,43.99,14.443183740316965,31,41,43,45,334
remote,1000,1000,44.40,5.290668688849756,31,42,44,46,99
remote,1000,1000,44.97,5.600113594586467,34,42,44,46,96
remote,1000,1000,43.52,8.31919184494222,31,40,43,45,196
remote,1000,1000,43.86,11.071227396999705,33,40,43,45,269
remote,1000,1000,44.70,28.12716696579167,30,39,42,44,518
remote,1000,1000,50.40,67.31110594830534,33,41,43,45,1066
remote,1000,1000,43.46,10.214829550351899,31,41,43,44,262
remote,1000,1000,43.40,6.3339331942885,31,40,43,45,92
remote,1000,1000,52.75,83.69205074771673,31,39,41,44,1051
remote,1000,1000,41.76,6.135552216467636,30,39,41,44,126
remote,1000,1000,51.13,74.86941969860561,33,41,43,44,1049
remote,1000,1000,53.35,78.51696375686984,33,41,43,45,1043
remote,1000,1000,42.84,4.9392423624595585,33,41,43,44,91
remote,1000,1000,48.16,55.741811780571,31,40,42,44,845
remote,1000,1000,43.66,9.687377161867621,32,41,43,45,238
remote,1000,1000,43.35,5.129424431161361,32,41,43,45,102
remote,1000,1000,42.28,5.0750396084195515,32,40,42,44,94
remote,1000,1000,41.40,4.7584285896336205,31,39,41,43,89
remote,1000,1000,42.12,4.704546392241945,32,40,42,44,88
remote,1000,1000,42.48,4.99285886438217,32,40,42,44,96
remote,1000,1000,43.01,4.558698578841629,30,41,43,45,94
remote,1000,1000,42.84,6.61438592018195,32,40,42,44,163
remote,1000,1000,42.62,4.398623863425011,32,40,43,44,88
remote with mTLS,1000,1000,54.60,13.98388143327664,43,51,53,56,292
remote with mTLS,1000,1000,52.38,14.447468752461585,40,49,51,54,304
remote with mTLS,1000,1000,52.52,12.734739793085566,40,49,51,54,267
remote with mTLS,1000,1000,51.17,10.340827225503196,39,48,50,53,226
remote with mTLS,1000,1000,49.93,17.34645238688329,37,46,48,50,278
remote with mTLS,1000,1000,47.83,8.297585246378707,37,45,47,49,252
remote with mTLS,1000,1000,51.00,15.19651055120659,39,47,49,52,280
remote with mTLS,1000,1000,52.57,8.05054875988807,40,49,52,54,177
remote with mTLS,1000,1000,52.92,12.710297504884089,41,49,51,54,231
remote with mTLS,1000,1000,61.33,80.90109642893201,41,49,51,54,1059
