number_extend,scenario,mean,ci_lower,ci_upper
10,remote,40.56429249999999,39.05,42.125
10,remote with mTLS,51.900552499999996,50.9,52.93812499999999
100,remote,40.2690695,39.08246875,41.520062499999995
100,remote with mTLS,52.6396715,51.123625000000004,54.21378125
1000,remote,44.769557803921565,43.21094607843136,46.636867647058814
1000,remote with mTLS,54.593126869565225,52.603804347826085,56.88485869565217
10000,remote,43.572288,41.61029545454546,45.70022727272727
10000,remote with mTLS,54.69603215384616,52.57920192307692,57.329826923076915
100000,remote,52.133217423076914,49.62384134615386,54.68662019230769
100000,remote with mTLS,66.82263166666667,63.578275,70.14191666666666
